employee_id,project_id,date,hours
E001,P001,07/01/2024,8
E001,P001,08/01/2024,7.5
E002,P003,07/01/2024,6
E003,P002,07/01/2024,8
E004,P004,2024-01-08,4
E005,P007,08/01/2024,9
E005,P007,08/01/2024,9
E006,P006,09/01/2024,8
E007,P001,09/01/2024,7
E008,P010,09/01/2024,6.5
E009,P003,10-Jan-24,8
E010,P002,10/01/2024,7.5
E011,P007,10/01/2024,8
E012,P004,11/01/2024,3
E013,P009,11/01/2024,8
E014,P007,11/01/2024,6
E015,P008,11/01/2024,8
E016,P004,14/01/2024,5
E017,P001,14/01/2024,8
E018,P010,14/01/2024,7
E019,P006,14/01/2024,8
E020,P003,15/01/2024,6
E001,P002,15/01/2024,8
E002,P009,15/01/2024,7.5
E003,P008,15/01/2024,8
E005,P007,15/01/2024,10
E007,P001,16/01/2024,8
E008,P010,16/01/2024,7
E011,P012,16/01/2024,8
E022,P018,16/01/2024,6.5
E023,P007,17/01/2024,9
E024,P008,17/01/2024,8
E025,P003,17/01/2024,7
E026,P010,17/01/2024,6
E027,P001,18/01/2024,8
E028,P004,18/01/2024,4
E029,P007,18/01/2024,8
E030,P009,18/01/2024,7.5
E031,P002,21/01/2024,8
E032,P018,21/01/2024,6
E033,P006,21/01/2024,8
E034,P010,21/01/2024,7
E035,P003,22/01/2024,8
E036,P007,22/01/2024,9
E037,P001,22/01/2024,8
E038,P004,22/01/2024,3
E039,P002,22/01/2024,8
E040,P009,23/01/2024,7
E001,P005,23/01/2024,8
E002,P005,23/01/2024,6.5
E003,P005,24/01/2024,8
E004,P005,24/01/2024,5
E005,P005,24/01/2024,9
E006,P005,25/01/2024,8
E007,P005,25/01/2024,7
E008,P005,25/01/2024,6
E099,P001,25/01/2024,8
E010,P999,28/01/2024,7.5
E011,P007,28/01/2024,8
E012,P004,28/01/2024,4
E013,P009,28/01/2024,6
E014,P007,29/01/2024,-3
E015,P008,29/01/2024,8
E016,P004,29/01/2024,5
E017,P001,29/01/2024,8
E018,P010,30/01/2024,7
E019,P006,30/01/2024,8
E020,P003,30/01/2024,25
E021,P004,30/01/2024,6
E022,P018,31/01/2024,8
E023,P007,31/01/2024,7.5
E024,P008,31/01/2024,8
E025,P003,31/01/2024,6
E001,P001,01/02/2024,8
E002,P003,01/02/2024,7
E003,P002,01/02/2024,8
E005,P007,04/02/2024,9
E007,P001,04/02/2024,8
E009,P003,04/02/2024,7
E011,P012,04/02/2024,6.5
E014,P007,05/02/2024,8
E017,P001,05/02/2024,7.5
E022,P018,05/02/2024,8
E027,P001,05/02/2024,6
E029,P007,06/02/2024,8
E032,P018,06/02/2024,7
E036,P007,06/02/2024,8.5
E037,P001,06/02/2024,8
E001,P030,07/02/2024,6
E005,P030,07/02/2024,8
E011,P030,07/02/2024,7
E017,P030,10/02/2024,8
E022,P030,10/02/2024,6.5
E027,P030,10/02/2024,8
E032,P030,11/02/2024,7
E037,P030,11/02/2024,8
E002,P026,11/02/2024,6
E008,P026,11/02/2024,7.5
E018,P026,12/02/2024,8
E026,P026,12/02/2024,6
E034,P026,12/02/2024,7
E040,P026,13/02/2024,5.5
E003,P020,13/02/2024,8
E010,P020,13/02/2024,7
E015,P020,14/02/2024,8
E024,P020,14/02/2024,6.5
E031,P020,14/02/2024,8
E039,P020,17/02/2024,7
E006,P029,17/02/2024,8
E019,P029,17/02/2024,7.5
E033,P029,18/02/2024,8
E004,P015,18/02/2024,4
E012,P015,18/02/2024,3.5
E016,P015,19/02/2024,5
E028,P015,19/02/2024,4
E038,P015,19/02/2024,3
E001,P031,20/02/2024,8
E005,P031,20/02/2024,9
E014,P031,20/02/2024,8
E023,P031,21/02/2024,7.5
E029,P031,21/02/2024,8
E036,P031,21/02/2024,9
E007,P023,24/02/2024,8
E011,P023,24/02/2024,7
E017,P023,24/02/2024,8
E022,P023,25/02/2024,6.5
E027,P023,25/02/2024,8
E032,P023,25/02/2024,7
E037,P023,26/02/2024,8
E002,P025,26/02/2024,7.5
E008,P025,26/02/2024,6
E009,P025,27/02/2024,8
E018,P025,27/02/2024,7
E025,P025,27/02/2024,8
E026,P025,28/02/2024,6.5
E030,P025,28/02/2024,7
E035,P025,28/02/2024,8
E040,P025,28/02/2024,6
E003,P035,03/03/2024,8
E010,P035,03/03/2024,7.5
E015,P035,03/03/2024,8
E024,P035,04/03/2024,6
E031,P035,04/03/2024,8
E039,P035,04/03/2024,7
E001,P007,05/03/2024,8
E005,P007,05/03/2024,9
E011,P007,05/03/2024,8
E014,P007,06/03/2024,7.5
E017,P007,06/03/2024,8
E022,P007,06/03/2024,6.5
E023,P007,07/03/2024,8
E029,P007,07/03/2024,9
E036,P007,07/03/2024,8
E027,P001,10/03/2024,8
E032,P018,10/03/2024,7
E037,P001,10/03/2024,8
E001,P001,11/03/2024,7.5
E007,P001,11/03/2024,8
E017,P001,11/03/2024,6
E001,P001,11/03/2024,7.5
E002,P003,12/03/2024,8
E009,P003,12/03/2024,7
E020,P003,12/03/2024,6.5
E025,P003,13/03/2024,8
E035,P003,13/03/2024,7.5
E040,P003,13/03/2024,6
E004,P004,14/03/2024,4
E012,P004,14/03/2024,3.5
E016,P004,14/03/2024,5
E028,P004,17/03/2024,4
E038,P004,17/03/2024,3
,P001,17/03/2024,8
E006,P006,17/03/2024,7.5
E019,P006,18/03/2024,8
E033,P006,18/03/2024,6
E006,P029,18/03/2024,8
E019,P029,19/03/2024,7
E033,P029,19/03/2024,8
E008,P010,19/03/2024,6.5
E018,P010,20/03/2024,8
E026,P010,20/03/2024,7
E034,P010,20/03/2024,8
E003,P008,21/03/2024,7.5
E015,P008,21/03/2024,8
E024,P008,21/03/2024,6
E031,P008,24/03/2024,8
E039,P008,24/03/2024,7
E010,P002,24/03/2024,8
E031,P002,25/03/2024,7.5
E039,P002,25/03/2024,8
E003,P002,25/03/2024,6.5
E001,P005,26/03/2024,8
E002,P005,26/03/2024,7
E006,P005,27/03/2024,8
E007,P005,27/03/2024,6.5
E019,P005,27/03/2024,8
E033,P005,28/03/2024,7
E013,P009,28/03/2024,8
E030,P009,28/03/2024,6
E040,P009,28/03/2024,7.5
E050,P001,31/03/2024,8
E001,P999,31/03/2024,6
E005,P007,31/03/2024,
E011,P012,01/04/2024,8
E022,P018,01/04/2024,7
E032,P018,01/04/2024,6.5
E027,P023,02/04/2024,8
E037,P001,02/04/2024,7.5
E001,P030,02/04/2024,8
E005,P030,03/04/2024,7
E017,P030,03/04/2024,8
E022,P030,03/04/2024,6
E014,P031,04/04/2024,8
E023,P031,04/04/2024,9
E029,P031,04/04/2024,8
E036,P031,04/04/2024,7.5
E007,P023,07/04/2024,8
E011,P023,07/04/2024,7
E017,P023,07/04/2024,8
E002,P026,08/04/2024,6.5
E008,P026,08/04/2024,8
E018,P026,08/04/2024,7
E026,P026,09/04/2024,8
E034,P026,09/04/2024,6
E040,P026,09/04/2024,7.5
E003,P020,10/04/2024,8
E010,P020,10/04/2024,7
E015,P020,10/04/2024,8
E024,P020,11/04/2024,6.5
E031,P020,11/04/2024,8
E039,P020,11/04/2024,7
E004,P015,14/04/2024,4.5
E012,P015,14/04/2024,3
E016,P015,14/04/2024,5
E028,P015,15/04/2024,4
E038,P015,15/04/2024,3.5
E001,P007,15/04/2024,8
E005,P007,15/04/2024,9
E011,P007,16/04/2024,8
E014,P007,16/04/2024,7.5
E023,P007,17/04/2024,9
E029,P007,17/04/2024,8
E036,P007,17/04/2024,8.5
E006,P006,18/04/2024,7.5
E019,P006,18/04/2024,8
E033,P006,18/04/2024,6
E008,P010,21/04/2024,7
E018,P010,21/04/2024,8
E026,P010,22/04/2024,6.5
E034,P010,22/04/2024,8
E002,P025,22/04/2024,7
E009,P025,23/04/2024,8
E025,P025,23/04/2024,6.5
E030,P025,23/04/2024,8
E035,P025,24/04/2024,7
E040,P025,24/04/2024,6
E037,P001,24/04/2024,8
E027,P001,25/04/2024,7.5
E032,P018,25/04/2024,8
E022,P018,25/04/2024,6.5
E017,P001,28/04/2024,8
E007,P001,28/04/2024,7
E001,P001,28/04/2024,8
E003,P035,29/04/2024,7.5
E010,P035,29/04/2024,8
E015,P035,29/04/2024,6.5
E024,P035,30/04/2024,8
E031,P035,30/04/2024,7
E039,P035,30/04/2024,8
E013,P009,30/04/2024,6
E030,P009,30/04/2024,8
E040,P009,30/04/2024,7.5
E020,P003,01/05/2024,not_a_number
E021,P004,01/05/2024,7
E006,P029,02/05/2024,8
E019,P029,02/05/2024,7
E033,P029,02/05/2024,8.5
E001,P031,05/05/2024,8
E014,P031,05/05/2024,7.5
E029,P031,05/05/2024,9
E036,P031,05/05/2024,8
E005,P030,06/05/2024,7
E017,P030,06/05/2024,8
E022,P030,06/05/2024,6.5
E027,P023,07/05/2024,8
E037,P001,07/05/2024,7.5
E032,P023,07/05/2024,8
E011,P012,08/05/2024,7
E022,P018,08/05/2024,8
E032,P018,08/05/2024,6
E007,P005,09/05/2024,7.5
E001,P005,09/05/2024,8
E006,P005,09/05/2024,7
E019,P005,12/05/2024,8
E003,P008,12/05/2024,7.5
E015,P008,12/05/2024,8
E024,P008,13/05/2024,6
E031,P008,13/05/2024,7.5
E039,P008,13/05/2024,8
E010,P002,14/05/2024,7
E031,P002,14/05/2024,8
E003,P002,14/05/2024,6.5
E039,P002,15/05/2024,8
E002,P026,15/05/2024,7
E008,P026,15/05/2024,6.5
E018,P026,16/05/2024,8
E034,P026,16/05/2024,7
E026,P026,16/05/2024,8
E040,P026,16/05/2024,6
E001,P007,19/05/2024,8
E005,P007,19/05/2024,9
E011,P007,19/05/2024,8
E014,P007,20/05/2024,7.5
E017,P007,20/05/2024,8
E022,P007,20/05/2024,6.5
E023,P007,21/05/2024,9
E029,P007,21/05/2024,8
E036,P007,21/05/2024,8
E004,P004,22/05/2024,5
E012,P004,22/05/2024,3.5
E016,P004,22/05/2024,4
E028,P004,22/05/2024,3
E038,P004,23/05/2024,4.5
E020,P003,23/05/2024,7
E025,P003,23/05/2024,8
E035,P003,23/05/2024,6.5
E040,P003,26/05/2024,7.5
E009,P003,26/05/2024,8
E002,P003,26/05/2024,6
E013,P009,27/05/2024,8
E030,P009,27/05/2024,seven
E040,P009,27/05/2024,6.5
E006,P006,28/05/2024,8
E019,P006,28/05/2024,7.5
E033,P006,28/05/2024,8
E008,P010,29/05/2024,6.5
E018,P010,29/05/2024,8
E026,P010,29/05/2024,7
E034,P010,30/05/2024,8
E003,P020,30/05/2024,7.5
E010,P020,30/05/2024,8
E015,P020,30/05/2024,6
E024,P020,30/05/2024,8
